"";"";"";"";"deferimento";""
"1";"deferimento";"3.2780050711855";"0.0962939779651235";"1.44601992708445";"26"
"2";"autorizado";"3.2780050711855";"0.0962939779651235";"1.44601992708445";"28"
"3";"palestra";"3.2780050711855";"0.0962939779651234";"1.28189580438681";"34"
"4";"titularizado";"3.2780050711855";"0.0962939779651234";"1.28189580438681";"37"
"5";"telefone";"3.2780050711855";"0.0962939779651234";"1.28189580438681";"38"
"6";"confundir";"-0.503520174628026";"0.353739926025095";"1.00472407282055";"103"
"7";"fático_probatório";"-0.647845693065732";"1.81408080828171";"1.00067452824587";"110"
"8";"conclusão";"-0.542006979544748";"0.743164161293526";"0.924360207583693";"160"
"9";"justiça";"-0.542006979544748";"0.743164161293526";"0.924360207583693";"161"
"10";"alegação";"-0.567980155618057";"0.743274456080822";"0.920180032538863";"164"
"11";"específico";"-0.631809524350432";"1.6518207102532";"0.907430498652131";"177"
"12";"rejeitar";"-0.631809524350432";"1.6518207102532";"0.907430498652131";"180"
"13";"monocrático";"-0.654557409195755";"0.743642105371808";"0.907430498652131";"181"
"14";"coação";"-0.654557409195755";"0.743642105371808";"0.907430498652131";"184"
"15";"apreciado";"-0.654557409195755";"0.743642105371808";"0.907430498652131";"185"
"16";"fundamento";"-0.611111129342492";"0.873211211755478";"0.890004393933996";"196"
"17";"fundamentar";"-0.611111129342492";"0.873211211755478";"0.890004393933996";"198"
"18";"extraordinário";"-0.551628680773928";"0.840520220110634";"0.878273777714442";"205"
"19";"suscitado";"-0.551628680773928";"0.840520220110634";"0.878273777714442";"207"
"20";"precedente";"-0.575247477771004";"0.700054116512017";"0.849299939434964";"237"
"21";"presente";"-0.592743847480872";"0.40277641349236";"0.840782832781123";"269"
"22";"denúncia";"-0.580493784461469";"1.13258839656196";"0.83895400619901";"271"
"23";"regional";"-0.555655710451942";"0.198256998364692";"0.83895400619901";"273"
"24";"operação";"-0.567664849489229";"1.00278031813915";"0.836576531642263";"274"
"25";"configurar";"-0.567664849489229";"1.00278031813915";"0.836576531642263";"275"
"26";"diverso";"-0.567664849489229";"1.00278031813915";"0.836576531642263";"280"
"27";"prejudicar";"-0.567664849489229";"1.00278031813915";"0.836576531642263";"282"
"28";"intenção";"-0.526268059473349";"-0.554438678856296";"0.836576531642263";"284"
"29";"seguinte";"-0.526268059473349";"-0.554438678856296";"0.836576531642263";"286"
"30";"produzir";"-0.567664849489229";"1.00278031813915";"0.836576531642263";"287"
"31";"anterior";"-0.561696254968962";"-0.765137834254222";"0.832762121913855";"288"
