"";"";"";"";"autorização";""
"1";"autorização";"1.64576388321178";"-1.05968268823776";"1.23302737816585";"138"
"2";"roberson";"2.05116215235654";"-0.968654176853814";"1.21132735449596";"157"
"3";"conducao";"2.05116215235654";"-0.968654176853814";"1.21132735449596";"158"
"4";"mendonça";"2.05116215235654";"-0.968654176853814";"1.21132735449596";"161"
"5";"anselmo";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"193"
"6";"vladimir";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"194"
"7";"vincular";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"195"
"8";"receita";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"197"
"9";"gente";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"202"
"10";"atibaia";"2.05116215235654";"-0.968654176853814";"1.14220515652807";"205"
"11";"âmbito";"-0.592662964019615";"1.54035747597018";"1.11453681543627";"236"
"12";"examinar";"-0.1238026960542";"1.50806585568278";"1.10019987902059";"242"
"13";"premiar";"-0.530741854755605";"1.77250199548896";"1.0964696806319";"247"
"14";"próprio";"-0.365254330243167";"0.941324377837405";"1.08647923625174";"253"
"15";"dignidade_da_pessoa_humana";"-1.59742226994634";"-1.78791077930928";"1.07704021250296";"265"
"16";"excelente";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"277"
"17";"colega";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"278"
"18";"vivo";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"279"
"19";"titularizado";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"280"
"20";"resolução";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"281"
"21";"pertencer";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"282"
"22";"pertencente";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"283"
"23";"grampear";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"284"
"24";"globo";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"285"
"25";"flor";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"286"
"26";"corresponder";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"287"
"27";"correa";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"288"
"28";"bonfim";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"289"
"29";"aquisição";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"290"
"30";"alvo";"2.05116215235654";"-0.968654176853814";"1.07331001411426";"291"
"31";"quebra";"-0.123222784597026";"1.16316102658078";"1.0363323953046";"323"
"32";"esquema";"1.61685318854106";"-0.563310529508332";"1.03364016516319";"325"
"33";"realização";"-0.633736865652327";"1.40007651181789";"1.02819083186492";"332"
"34";"impor";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"356"
"35";"professor";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"357"
"36";"sanção";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"359"
"37";"tradução";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"364"
"38";"temporário";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"365"
"39";"inocente";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"371"
"40";"indivíduo";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"372"
"41";"inadmissibilidade";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"373"
"42";"gustavo";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"375"
"43";"expressar";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"377"
"44";"essência";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"378"
"45";"consignar";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"379"
"46";"consequência";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"380"
"47";"confissão";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"381"
"48";"característica";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"383"
"49";"autoincriminação";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"384"
"50";"afastado";"-1.59742226994634";"-1.78791077930928";"1.00743146691915";"385"
"51";"noticiar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"387"
"52";"explicar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"388"
"53";"reforçar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"389"
"54";"publicação";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"390"
"55";"pozzobon";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"391"
"56";"integrante";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"392"
"57";"demorar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"393"
"58";"conjur";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"394"
"59";"thompson";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"397"
"60";"sozinho";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"398"
"61";"luciano";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"400"
"62";"extravagante";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"401"
"63";"equivocar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"402"
"64";"entao";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"403"
"65";"dr";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"404"
"66";"cnpj";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"405"
"67";"avisar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"406"
"68";"apanhar";"2.05116215235654";"-0.968654176853814";"1.00464192725456";"407"
"69";"probatório";"-0.680552779696291";"1.23079220105831";"1.00058736378858";"410"
"70";"apresentação";"0.314736724870695";"1.75479034767793";"0.996922038415345";"414"
"71";"pré_processual";"-0.597409380705026";"1.54997619706407";"0.996922038415345";"416"
"72";"manipulação";"-0.597409380705026";"1.54997619706407";"0.996922038415345";"418"
"73";"conexão";"-0.597409380705026";"1.54997619706407";"0.996922038415345";"422"
"74";"permitir";"-0.248354073016375";"0.994124077695881";"0.992121435271634";"426"
"75";"condenação";"-0.612179074257054";"1.41734865601821";"0.987547887682017";"428"
"76";"conteúdo";"-0.451273712474676";"0.775626603462324";"0.974313792529083";"433"
"77";"uso";"-0.0458754433299115";"0.866655114846265";"0.974313792529083";"434"
"78";"diverso";"0.0699835166045346";"1.22791272446053";"0.974313792529083";"435"
"79";"época";"0.0699835166045346";"1.22791272446053";"0.974313792529083";"436"
"80";"ilicitude";"-1.38887614206434";"-1.13764708200361";"0.972724403650422";"440"
"81";"tessler";"1.52999139577797";"-0.482241800039235";"0.969772681447194";"455"
"82";"relatório";"1.52999139577797";"-0.482241800039235";"0.969772681447194";"457"
"83";"dinheiro";"0.169426785081492";"1.15519160669322";"0.966820959243966";"473"
"84";"posição";"-0.148861166833315";"1.11577638643692";"0.960236348175227";"489"
"85";"transcrever";"1.09897636252207";"-0.385980327113841";"0.959555181512944";"490"
"86";"encaminhar";"1.13126746025301";"-0.25273616245057";"0.959555181512944";"491"
"87";"parcialidade";"-0.617927818629127";"1.41274275089813";"0.933086991207076";"506"
"88";"judiciário";"-0.253069376398838";"1.49466841114367";"0.933086991207076";"507"
"89";"verdadeiro";"-0.0692891788546133";"1.125630191501";"0.92646994363061";"511"
"90";"negar";"-0.0676950740927124";"1.04625012228049";"0.924426443643759";"513"
"91";"produzir";"-0.0676950740927124";"1.04625012228049";"0.924426443643759";"514"
"92";"defensivo";"-0.797411958553289";"0.882398801789396";"0.924426443643759";"522"
"93";"procedimento";"-0.251846890336718";"1.36489765802758";"0.916479499250454";"529"
"94";"cargo";"-0.646989806586968";"1.29282300270118";"0.912165443722659";"531"
"95";"episódio";"-0.646989806586968";"1.29282300270118";"0.912165443722659";"533"
"96";"motivo";"0.0827270778736091";"1.45667432319228";"0.912165443722659";"535"
"97";"necessidade";"-1.26408464019924";"-0.675281787184834";"0.910640927859454";"544"
"98";"presunção";"-1.26408464019924";"-0.675281787184834";"0.910640927859454";"546"
"99";"segurança";"-1.26408464019924";"-0.675281787184834";"0.910640927859454";"549"
"100";"exercer";"-1.26408464019924";"-0.675281787184834";"0.910640927859454";"561"
"101";"envolvido";"-1.33673961009384";"-0.975081157677194";"0.910640927859454";"563"
"102";"lado";"1.39969870663332";"-0.360638705835591";"0.908597427872603";"577"
"103";"elemento";"-0.397315592932091";"0.52965000819183";"0.90850011834942";"584"
"104";"internacional";"-1.2014087435466";"-0.50427170347159";"0.908175753272142";"587"
"105";"evidente";"-1.249845390143";"-0.704137950466497";"0.908175753272142";"588"
"106";"condenatório";"-0.670064350599628";"1.25017682657171";"0.906099816777564";"596"
"107";"legislação";"-0.474673957664271";"0.53975428024655";"0.906099816777564";"599"
"108";"incompetência";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"609"
"109";"decretação";"-0.360945044150723";"2.2628726951987";"0.903764388221164";"615"
"110";"relativo";"0.507672883480233";"1.45218540050774";"0.903764388221164";"622"
"111";"instalar";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"625"
"112";"iniciativa";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"626"
"113";"diligência";"-0.360945044150723";"2.2628726951987";"0.903764388221164";"628"
"114";"desenvolver";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"629"
"115";"denotar";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"630"
"116";"concessão";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"632"
"117";"avaliação";"-0.708521923954061";"1.17909986635592";"0.903764388221164";"633"
"118";"aplicativo";"0.507672883480233";"1.45218540050774";"0.903764388221164";"635"
"119";"praticar";"-0.470076970304067";"0.90067771323628";"0.901104594587487";"637"
"120";"sustentar";"-0.322649606734984";"0.573889972015528";"0.879274824886691";"644"
"121";"extensão";"-0.148861166833315";"1.11577638643692";"0.879274824886691";"649"
"122";"necessário";"-0.812156023267304";"-0.479865274419285";"0.875155388405264";"657"
"123";"república";"-0.286021149964426";"0.461545272507937";"0.871587372555208";"666"
"124";"circunstância";"-1.06750345889108";"-0.0518607188058609";"0.866397531318763";"669"
"125";"instrução";"-1.02598633323702";"0.119453207189773";"0.866397531318763";"670"
"126";"papel";"-1.06750345889108";"-0.0518607188058609";"0.866397531318763";"673"
"127";"discussão";"-1.06408206235097";"-0.00770439191016408";"0.858612769464096";"693"
"128";"precedente";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"704"
"129";"alegado";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"707"
"130";"imediato";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"709"
"131";"reafirmar";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"712"
"132";"pronunciar";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"713"
"133";"poder_judiciário";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"714"
"134";"legitimidade";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"715"
"135";"dispositivo";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"718"
"136";"vítima";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"720"
"137";"semelhante";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"721"
"138";"repercussão";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"723"
"139";"previsto";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"725"
"140";"justo";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"728"
"141";"frança";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"732"
"142";"expressão";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"733"
"143";"determinação";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"734"
"144";"definição";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"735"
"145";"cópia";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"736"
"146";"construir";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"740"
"147";"compreender";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"742"
"148";"assumir";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"743"
"149";"apropriado";"-1.249845390143";"-0.704137950466497";"0.853714856797202";"745"
"150";"abusividade";"-1.1529720969502";"-0.304405456476684";"0.853714856797202";"748"
"151";"alegação";"0.123910753111178";"0.646686665685468";"0.853552674258563";"749"
"152";"percepção";"-0.728063293405586";"1.04840134619788";"0.853552674258563";"752"
"153";"jurisdição";"-0.670064350599628";"1.25017682657171";"0.852612015534457";"758"
"154";"fundamentação";"0.242081754976093";"1.45499097718557";"0.852612015534457";"759"
"155";"reiterar";"-0.0186009048764104";"0.642161355553484";"0.852612015534457";"760"
"156";"persecutório";"-0.670064350599628";"1.25017682657171";"0.852612015534457";"761"
"157";"marcar";"-0.0186009048764104";"0.642161355553484";"0.852612015534457";"764"
"158";"intenção";"-0.0186009048764104";"0.642161355553484";"0.852612015534457";"765"
"159";"intenso";"-0.930747010452131";"0.437347204939616";"0.852612015534457";"766"
"160";"heterodoxo";"-0.930747010452131";"0.437347204939616";"0.852612015534457";"767"
"161";"denominar";"-0.670064350599628";"1.25017682657171";"0.852612015534457";"768"
"162";"comentar";"-0.0186009048764104";"0.642161355553484";"0.852612015534457";"769"
"163";"providência";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"775"
"164";"novembro";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"777"
"165";"deferir";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"779"
"166";"repetido";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"786"
"167";"prender";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"789"
"168";"interrupção";"1.27941751791839";"0.241765611826963";"0.852547142519002";"797"
"169";"indiciamento";"1.27941751791839";"0.241765611826963";"0.852547142519002";"798"
"170";"indicado";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"799"
"171";"fernando";"1.18254422472559";"-0.15796688216285";"0.852547142519002";"800"
"172";"deferimento";"1.27941751791839";"0.241765611826963";"0.852547142519002";"806"
"173";"assinatura";"1.27941751791839";"0.241765611826963";"0.852547142519002";"810"
"174";"oportunidade";"-0.594950556179684";"0.399353116988219";"0.852255213949452";"812"
"175";"prático";"-0.699223620120685";"0.0742212683353831";"0.852255213949452";"814"
"176";"fundamento";"-0.746080133248142";"0.144701332190977";"0.839313047366068";"822"
"177";"objetivo";"-0.967074495399432";"0.287447519693436";"0.838826499750151";"823"
"178";"conceder";"0.410799590287431";"1.05245290651793";"0.838339952134235";"828"
"179";"reclamação";"0.410799590287431";"1.05245290651793";"0.838339952134235";"830"
"180";"evidenciar";"0.410799590287431";"1.05245290651793";"0.838339952134235";"831"
"181";"configurar";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"834"
"182";"integridade";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"837"
"183";"conter";"0.410799590287431";"1.05245290651793";"0.838339952134235";"838"
"184";"rousseff";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"840"
"185";"restringir";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"841"
"186";"recebimento";"0.410799590287431";"1.05245290651793";"0.838339952134235";"843"
"187";"proposta";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"844"
"188";"participar";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"845"
"189";"opinião";"0.410799590287431";"1.05245290651793";"0.838339952134235";"847"
"190";"macular";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"848"
"191";"licitude";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"849"
"192";"imputado";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"850"
"193";"documento";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"855"
"194";"desnecessário";"0.410799590287431";"1.05245290651793";"0.838339952134235";"857"
"195";"campo";"-0.805395217146863";"0.779367372366104";"0.838339952134235";"859"
"196";"aportar";"0.410799590287431";"1.05245290651793";"0.838339952134235";"860"
"197";"condenar";"-0.547328927558872";"0.23995490975419";"0.836977618809668";"867"
"198";"competência";"-0.65189749562067";"0.293789172077488";"0.830879555356845";"869"
"199";"ordem";"-0.0633278882768001";"0.345256494683772";"0.829549658540007";"871"
"200";"encerrar";"-0.544874693233054";"-0.167862689400772";"0.828998237908634";"873"
"201";"bastar";"-0.593311339829455";"-0.367728936395679";"0.828998237908634";"874"
"202";"polícia";"-0.979183657048532";"0.23748095794471";"0.828998237908634";"875"
"203";"conclusão";"-0.593311339829455";"-0.367728936395679";"0.828998237908634";"877"
"204";"observar";"0.67132011420124";"0.105222844751051";"0.82789539664589";"881"
"205";"envolver";"-0.125819050008394";"0.806410625886603";"0.825819460151312";"883"
"206";"cometer";"-0.85553593446897";"0.642559305395509";"0.825819460151312";"884"
"207";"combinar";"-0.334365177890397";"0.15614692858093";"0.825819460151312";"885"
"208";"debate";"-0.334365177890397";"0.15614692858093";"0.825819460151312";"887"
"209";"crítica";"-0.85553593446897";"0.642559305395509";"0.825819460151312";"888"
"210";"apuração";"-0.334365177890397";"0.15614692858093";"0.825819460151312";"889"
"211";"possível";"0.146790572687605";"0.196693522626131";"0.825073420473573";"890"
"212";"apresentar";"0.584479939563304";"0.420966198673343";"0.81972139669849";"892"
"213";"titular";"-0.351938534623516";"-0.470467636570967";"0.819202412574845";"897"
"214";"definitivo";"-1.00340198034673";"0.137547834447256";"0.819202412574845";"898"
"215";"tentativa";"-0.351938534623516";"-0.470467636570967";"0.819202412574845";"901"
"216";"provocar";"-1.00340198034673";"0.137547834447256";"0.819202412574845";"904"
"217";"perspectiva";"-0.424593504518117";"-0.770267007063327";"0.819202412574845";"906"
"218";"institucional";"-0.351938534623516";"-0.470467636570967";"0.819202412574845";"909"
"219";"indevido";"-1.00340198034673";"0.137547834447256";"0.819202412574845";"910"
"220";"compartilhar";"-0.351938534623516";"-0.470467636570967";"0.819202412574845";"911"
"221";"breve";"-0.351938534623516";"-0.470467636570967";"0.819202412574845";"912"
"222";"depor";"0.487552601057604";"-0.565452856449459";"0.818456372897106";"916"
"223";"benefício";"0.487552601057604";"-0.565452856449459";"0.818456372897106";"917"
"224";"acabar";"0.487552601057604";"-0.565452856449459";"0.818456372897106";"919"
"225";"posse";"0.820890230804709";"0.547176135674992";"0.818456372897106";"920"
"226";"negociação";"0.820890230804709";"0.547176135674992";"0.818456372897106";"922"
"227";"clareza";"-0.091255874771012";"0.342361985061124";"0.81826175385074";"926"
"228";"importante";"0.063222710484093";"-0.0313199223248606";"0.816996730049356";"927"
"229";"relevante";"-0.233706366346364";"-0.114019387503648";"0.812325872936556";"929"
"230";"matéria";"-0.546277112847807";"0.0651759386877778";"0.812196126905645";"930"
"231";"anterior";"0.496175579238731";"0.299249253675055";"0.811450087227906";"932"
"232";"mostrar";"0.305696933668956";"-0.336538741824631";"0.811450087227906";"933"
"233";"dilma";"0.237011150385762";"0.510566492096533";"0.811190595166084";"934"
"234";"assinar";"-0.371086253331385";"0.374023725020622";"0.811190595166084";"935"
"235";"submeter";"-0.392489153806078";"-0.0836925678129576";"0.808076690424217";"938"
"236";"promotor";"0.337227730654499";"0.0801587526781366";"0.808076690424217";"939"
"237";"visão";"0.337227730654499";"0.0801587526781366";"0.808076690424217";"940"
"238";"autoridade";"0.137259535890179";"-0.206884618033694";"0.805741261867817";"941"
"239";"grau";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"942"
"240";"descrever";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"943"
"241";"inicial";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"945"
"242";"argumento";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"946"
"243";"analisado";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"947"
"244";"relevância";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"952"
"245";"pagamento";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"954"
"246";"mídia";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"955"
"247";"história";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"958"
"248";"enfrentar";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"959"
"249";"encher";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"960"
"250";"conferir";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"961"
"251";"complementar";"0.0632227104840931";"-0.0313199223248605";"0.805449333298267";"962"
"252";"valor";"-0.221597204697264";"-0.0640528257549212";"0.803405833311417";"966"
"253";"objeto";"-0.120290089589426";"-0.135681401568427";"0.802692230141406";"967"
"254";"policial";"0.0309316127531589";"-0.164564086988131";"0.8";"968"
